ref_line	ref_widx	storr	benloew	boeckh	bothe	brown	colonna	dain	dawe	griffith	hermann	jebb	lj	pearson	reinhardt
325	1892	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,	δρῶντας,
325	1893	ἐξερεῖθʼ	ἐξερεῖθ᾽	ἐξερεῖθ',	ἐξερεῖθ᾽,	ἐξερεῖθ᾽	ἐξερεῖθ᾽	ἐξερεῖθ’	ἐξερεῖθ᾽	ἐξερεῖθ᾽	ἐξερεῖθ᾽	ἐξερεῖθ᾽	ἐξερεῖθ᾿	ἐξερεῖθ᾽	ἐξερεῖθ᾽
325	1894	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι	ὅτι
326	1895	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ
326	1896	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ	δειλὰ
326	1897	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη	κέρδη
326	1898	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς	πημονὰς
326	1899	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.	ἐργάζεται.
327	1900	ἀλλʼ	ἀλλ᾽	ἀλλ'	ἀλλ᾽	ἀλλ᾽	ἀλλ᾽	ἀλλ’	ἀλλ᾽	ἀλλ᾽	ἀλλ᾽	ἀλλ᾽	ἀλλ᾿	ἀλλ᾽	ἀλλ᾽
327	1901	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη	εὑρεθείη
327	1902	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν
327	1903	μάλιστʼ·	μάλιστ᾽·	μάλιστ᾽	μάλιστ᾽	μάλιστ᾽·	μάλιστ᾽·	μάλιστ’·	μάλιστ᾽·	μάλιστ᾽	μάλιστ᾽·	μάλιστ᾽·	μάλιστ᾿·	μάλιστ᾽·	μάλιστ᾽·
327	1904	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν	ἐὰν
327	1905	δέ	δέ	δέ	δέ	δέ	δέ	δέ	δέ	δέ	δέ	δέ	δέ	δέ	δέ
327	1906	τοι	τοι	τοι	τοι	τοι	τοι	τοι	τοι	τοι	τοι	τοι	τοι	τοι	τοι
328	1907	ληφθῇ	ληφθῇ	ληφθῇ	ληφθῇ	ληφθῆι	ληφθῇ	ληφθῇ	ληφθῆι	ληφθῆι	ληφθῇ	ληφθῇ	ληφθῇ	ληφθῇ	ληφθῆι
328	1908	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε
328	1909	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
328	1910	μή,	μή	μή,	μὴ	μή,	μή,	μή,	μή,	μή,	μή,	μή,	μή,	μή,	μή,
328	1911	τοῦτο	(τοῦτο	τοῦτο	(τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο
328	1912	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
328	1913	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη	τύχη
328	1914	κρινεῖ,	κρινεῖ),	κρινεῖ,	κρινεῖ),	κρινεῖ,	κρινεῖ,	κρινεῖ,	κρινεῖ,	κρινεῖ,	κρινεῖ,	κρινεῖ,	κρινεῖ,	κρινεῖ,	κρινεῖ,
329	1915	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ
329	1916	ἔσθʼ	ἔσθ᾽	ἔσθ᾽	ἔσθ᾽	ἔσθ᾽	ἔσθ᾽	ἔσθ’	ἔσθ᾽	ἔσθ᾽	ἔσθ᾽	ἔσθ᾽	ἔσθ᾿	ἔσθ᾽	ἔσθ᾽
329	1917	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως	ὅπως
329	1918	ὄψει	ὄψει	ὄψει	ὄψει	ὄψει	ὄψει	ὄψει	ὄψει	ὄψηι	ὄψει	ὄψει	ὄψῃ	ὄψῃ	ὄψει
329	1919	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ	σὺ
329	1920	δεῦρʼ	δεῦρ᾽	δεῦρ᾽	δεῦρ᾽	δεῦρ᾽	δεῦρ᾽	δεῦρ’	δεῦρ᾽	δεῦρ᾽	δεῦρ'	δεῦρ᾽	δεῦρ᾿	δεῦρ᾽	δεῦρ᾽
329	1921	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα	ἐλθόντα
329	1922	με·	με.	με.	με·	με.	με.	με.	με.	με.	με.	με·	με.	με.	με.
330	1923	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
330	1924	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν
330	1925	γὰρ	γὰρ,	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
330	1926	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς
330	1927	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος	ἐλπίδος
330	1928	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης	γνώμης
330	1929	τʼ	τ᾽	τ᾽	τ᾽	τ᾽	τ᾽	τ’	τ᾽	τ᾽	τ᾽	τ᾽	τ᾿	τ᾽	τ᾽
330	1930	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς	ἐμῆς
331	1931	σωθεὶς	σωθεὶς,	σωθεὶς	σωθεὶς,	σωθεὶς	σωθεὶς	σωθεὶς	σωθεὶς	σωθεὶς	σωθείς,	σωθεὶς	σωθεὶς	σωθεὶς	σωθεὶς
331	1932	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω	ὀφείλω
331	1933	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς	τοῖς
331	1934	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς	θεοῖς
331	1935	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν	πολλὴν
331	1936	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.	χάριν.
333	1937	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ	πολλὰ
333	1938	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ	τὰ
333	1939	δεινὰ	δεινὰ,	δεινά,	δεινὰ,	δεινὰ	δεινὰ	δεινὰ	δεινὰ	δεινὰ	δεινά,	δεινὰ	δεινὰ	δεινὰ	δεινὰ
333	1940	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν	κοὐδὲν
333	1941	ἀνθρώπου	ἀν-	ἀν-	ἀν-	ἀν-	ἀν-	ἀν-	ἀν-	ἀν-	ἀν-	ἀνθρώπου	ἀν-	ἀν-	ἀν-
333	1942	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον	δεινότερον
333	1943	πέλει.	πέλει.	πέλει.	πέλει.	πέλει·	πέλει	πέλει·	πέλει·	πέλει·	πέλει.	πέλει·	πέλει·	πέλει·	πέλει·
334	1944	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο
334	1945	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
334	1946	πολιοῦ	πολιοῦ	πολιοῦ	πολίου	πολιοῦ	πολιοῦ	πολιοῦ	πολιοῦ	πολιοῦ	πολιοῦ	πολιοῦ	πολιοῦ	πολιοῦ	πολιοῦ
334	1947	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν	πέραν
334	1948	πόντου	πόντου	πόντου	πόντου,	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου
334	1949	χειμερίῳ	χειμερίῳ	χειμερίῳ	χειμερίῳ	χειμερίωι	χειμερίῳ	χειμερίῳ	χειμερίωι	χειμερίωι	χειμερίῳ	χειμερίῳ	χειμερίῳ	χειμερίῳ	χειμερίωι
334	1950	νότῳ	νότῳ	νότῳ	νότῳ,	νότωι	νότῳ	νότῳ	νότωι	νότωι	νότῳ	νότῳ	νότῳ	νότῳ	νότωι
335	1951	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,	χωρεῖ,
335	1952	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισι	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν	περιβρυχίοισιν
336	1953	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν	περῶν
336	1954	ὑπʼ	ἐπ᾽	ὑπ᾽	ἐπ᾽	ὑπ’	ὑπ᾽	ὑπ’	ὑπ᾽	ὑπ᾽	ὑπ’	ὑπ᾽	ὑπ᾿	ὑπ᾽	ὑπ᾽
336	1955	οἴδμασιν.	οἴδμασιν·	οἴδμασιν.	οἴδμασι,	οἴδμασιν·	οἴδμασιν,	οἴδμασιν,	οἴδμασιν,	οἴδμασιν,	οἴδμασιν,	οἴδμασιν·	οἴδμασιν,	οἴδμασιν,	οἴδμασιν,
337	1956	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν	θεῶν
337	1957	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε
337	1958	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν	τὰν
337	1959	ὑπερτάταν,	ὑπερτάταν,	ὑπερτάταν	ὑπερτάταν,	ὑπερτάταν,	ὑπερτάταν,Γᾶν	ὑπερτάταν,	ὑπερτάταν,	ὑπερτάταν,	ὑπερτάταν,	ὑπερτάταν,	ὑπερτάταν,	ὑπερτάταν,	ὑπερτάταν,
337	1960	Γᾶν	Γᾶν	Γᾶν	Γᾶν	Γᾶν		Γᾶν	Γᾶν	Γᾶν	Γᾶν	Γᾶν	Γᾶν	Γᾶν	Γᾶν
338	1961	ἄφθιτον,	ἄφθιτον,	ἄφθιτον	ἄφθιτον,	ἄφθιτον,	ἄφθιτον,	ἄφθιτον,	ἄφθιτον,	ἄφθιτον,	ἄφθιτον,	ἄφθιτον,	ἄφθιτον,	ἄφθιτον,	ἄφθιτον
338	1962	ἀκαμάταν,	ἀκαμάταν	ἀκαμάταν	ἀκαμάταν,	ἀκαμάταν,	ἀκαμάταν,	ἀκαμάταν,	ἀκαμάταν	ἀκαμάταν	ἀκαμάταν	ἀκαμάταν	ἀκαμάταν	ἀκαμάταν	ἀκαμάταν,
338	1963	ἀποτρύεται	ἀποτρύεται,	ἀποτρύεται,	ἀποτρύεται	ἀποτρύεται,	ἀποτρύεται,	ἀποτρύεται,	ἀποτρύεται,	ἀποτρύεται,	ἀποτρύεται	ἀποτρύεται,	ἀποτρύεται,	ἀποτρύεται,	ἀποτρύεται
339	1964	ἰλλομένων	ἰλλομένων	εἰλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων	ἰλλομένων
339	1965	ἀρότρων	ἀρότρων	ἀρότρων	ἀρότρων,	ἀρότρων	ἀρότρων	ἀρότρων	ἀρότρων	ἀρότρων	ἀρότρων	ἀρότρων	ἀρότρων	ἀρότρων	ἀρότρων
339	1966	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος	ἔτος
339	1967	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς	εἰς
339	1968	ἔτος	ἔτος,	ἔτος,	ἔτος,	ἔτος,	ἔτος.	ἔτος,	ἔτος,	ἔτος,	ἔτος,	ἔτος,	ἔτος,	ἔτος,	ἔτος,
340	1969	ἱππείῳ	ἱππείῳ	ἱππεί-	ἱππείῳ	ἱππείωι	ἱππείῳ	ἱππείῳ	ἱππείωι	ἱππείωι	ἱππείῳ	ἱππείῳ	ἱππείῳ	ἱππείῳ	ἱππείωι
340	1970	γένει	γένει	γένει	γένει	γένει	γένει	γένει	γένει	γένει	γένει	γένει	γένει	γένει	γένει
340	1971	πολεύων.	πολεῦον.	πολεύων.	πολεύων.	πολεύων·	πολεύων.	πολεύων.	πολεύων.	πολεύων.	πολεῦον·	πολεύων.	πολεύων.	πολεύων.	πολεύων.
343	1972	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων	κουφονόων
343	1973	τε	τε	τὲ	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε
343	1974	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον	φῦλον
343	1975	ὀρνίθων	ὁρ-	ὀρ-	ὀρ-	ὀρ-	ὀρ-	ὀρ-	ὀρ-	ὀρ-	ὀρ-	ὀρνίθων	ὀρ-	ὀρ-	ὀρ-
343	1976	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν	ἀμφιβαλὼν
343	1977	ἄγει	ἄγει,	ἄγει,	ἄγει,	ἀγρεῖ	ἄγει,	ἄγει,	ἀγρεῖ	ἄγει	ἄγει,	ἄγει	ἄγει	ἀγρεῖ	ἄγει
345	1978	καὶ	θηρίων	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
345	1979	θηρῶν	τ᾽	θηρῶν	θηρῶν	θηρῶν	θηρῶν	θηρῶν	θηρῶν	θηρῶν	θηρῶν	θηρῶν	θηρῶν	θηρῶν	θηρῶν
345	1980	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων	ἀγρίων
345	1981	ἔθνη	ἔθνη,	ἔθνη,	ἔθνη,	ἔθνη	ἔθνη	ἔθνη	ἔθνη	ἔθνη	ἔθνη,	ἔθνη	ἔθνη	ἔθνη	ἔθνη
345	1982	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου	πόντου
345	1983	τʼ	τ᾽	τ᾽	τ᾽	τ᾽	τ᾽	τ’	τ᾽	τ᾽	τ᾽	τ᾽	τ᾿	τ᾽	τ᾽
345	1984	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν	εἰναλίαν
345	1985	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν	φύσιν
346	1986	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι	σπείραισι
346	1987	δικτυοκλώστοις,	δικτυοκλώστοις,	δικτυοκλώστοις,	δικτυοκλώστοις,	δικτυοκλώστοις	δικτυοκλώστοις	δικτυοκλώστοις	δικτυοκλώστοις	δικτυοκλώστοις	δικτυοκλώστοις,	δικτυοκλώστοις,	δικτυοκλώστοις,	δικτυοκλώστοις,	δικτυοκλώστοις,
347	1988	περιφραδὴς	περιφραδὴς	περιφραδὴς	περιφραδὴς	περιφραδὴς	περιφραδὴς	περιφραδὴς	περιφραδὴς	περιφραδὴς	ἀριφραδὴς	περιφραδὴς	περιφραδὴς	περιφραδὴς	περιφραδὴς
347	1989	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·	ἀνήρ·
348	1990	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ	κρατεῖ
348	1991	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ
348	1992	μηχαναῖς	μηχαναῖς	μηχαναῖς	μαχαναῖς	μηχαναῖς	μηχαναῖς	μηχαναῖς	μηχαναῖς	μηχαναῖς	μηχαναῖς	μηχαναῖς	μηχαναῖς	μηχαναῖς	μηχαναῖς
348	1993	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου	ἀγραύλου
350	1994	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς	θηρὸς
350	1995	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,	ὀρεσσιβάτα,
350	1996	λασιαύχενά	λασιαύχενά	λασιαύχενά	λασιαύχενα	λασιαύχενά	λασιαύχενά	λασιαύχενά	λασιαύχενά	λασιαύχενά	λασιαύχενά	λασιαύχενά	λασιαύχενά	λασιαύχενά	λασιαύχενά
350	1997	θʼ	θ᾽	θ’		θ’	θ’	θ’	θ᾽	θ᾽	θ᾽	θ᾽	θ᾿	θ᾽	θ᾽
351	1998	ἵππον	ἵππον	ἵππιον	ἵππον	ἵππον	ἵππον	ἵππον	ἵππον	ἵππον	ἵππιον	ἵππον	ἵππον	ἵππον	ἵππον
351	1999	ὀχμάζεται	ἀέξεται	ἄξεται	τ᾽	ὀχμάζεται	αἐξεται	ὑπ	ὀχμάζεται	ὑπαγάγετ᾽	ἑξέτε᾽	ὀχμάζεται	ὀχμάζεται	ὑπαξέμεν	ὀχμάζεται
351	2000	ἀμφὶ	ἀμφίλοφον	ἀμφὶ	ἄξεται	ἀμφιλόφωι	ἀμφίλοφον	άξεται	ἀμφὶ	ἀμφίλοφον	ἀμφὶ	ἀμφὶ	ἀμφὶ	ἀμφίλοφον	ἀμφίλοφον
351	2001	λόφον	ζυγὸν,	λόφον	ἀμφίλοφον	ζυγῶι	ζυγὸν	ἀμφίλοφον	λόφον	ζυγὸν	λόφον	λόφον	λόφον	ζυγὸν	ζυγὸν
351	2002	ζυγῶν		ζυγὸν	ζυγὸν,	ὄρειόν		ζυγὸν	ζυγῶι		ζυγοῖ,	ζυγῶν,	ζυγῷ		
352	2003	οὔρειόν	οὔρειόν	οὔρει-	οὔρειόν		οὔρειόν	οὔρειόν	οὔρειόν	οὔρειόν	οὔρειόν	οὔρειόν	οὔρειόν	οὔρειόν	οὔρειόν
352	2004	τʼ	τ᾽	τ᾽	τ᾽	τ’	τ᾽	τ’	τ᾽	τ᾽	τ᾿	τ᾽	τ᾿	τ’	τ᾽
352	2005	ἀκμῆτα	ἀδμῆτα	ἀκμῆτα	ἀδμῆτα	ἀκμῆτα	ἀκμῆτα	ἀκμῆτα	ἀκμῆτα	ἀκμῆτα	ἀκμῆτα	ἀκμῆτα	ἀκμῆτα	ἀκμῆτα	ἀδμῆτα
352	2006	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.	ταῦρον.
355	2007	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
355	2008	φθέγμα	φθέγμα,	φθέγμα	φθέγμα,	φθέγμα	φθέγμα	φθέγμα	φθέγμα	φθέγμα	φθέγμα,	φθέγμα	φθέγμα	φθέγμα	φθέγμα
355	2009	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
355	2010	ἀνεμόεν	ἀνεμόεν	ἠνεμόεν	ἀνεμόεν	ἀνεμόεν	ἀνεμόεν	ἀνεμόεν	ἀνεμόεν	ἀνεμόεν	ἠνεμόεν	ἀνεμόεν	ἀνεμόεν	ἀνεμόεν	ἀνεμόεν
355	2011	φρόνημα	φρόνημα,	φρόνημα	φρόνημα,	φρόνημα	φρόνημα	φρόνημα	φρόνημα	φρόνημα	φρόνημα,	φρόνημα	φρόνημα	φρόνημα	φρόνημα
355	2012	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
355	2013	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους	ἀστυνόμους
356	2014	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς	ὀργὰς
356	2015	ἐδιδάξατο	ἐδιδάξατο,	ἐδιδάξατο	ἐδιδάξατο,	ἐδιδάξατο,	ἐδιδάξατο,	ἐδιδάξατο,	ἐδιδάξατο,	ἐδιδάξατο,	ἐδιδάξατο,	ἐδιδάξατο	ἐδιδάξατο	ἐδιδάξατο	ἐδιδάξατο
356	2016	καὶ	καὶ	καὶ	καὶ,	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
356	2017	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων	δυσαύλων
357	2018	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων	πάγων
357	2019	ὑπαίθρεια	αἴθρια	ὑπαίθρεια	αἴθρια	ὑπαίθρεια	ὑπαίθρεια	ἐν	ὑπαίθρεια	ὑπαίθρεια	αἴθρια	ἐναίθρεια	ὑπαίθρεια	ὑπαίθρεια	ὑπ
357	2020	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
357	2021	δύσομβρα	δύσομβρα	δύσομβρα	δύσομ-	δύσομβρα	δύσομβρα	δύσομβρα	δύσομβρα	δύσομβρα	δύσομ-	δύσομβρα	δύσομβρα	δύσομβρα	δύσομβρα
